# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0005          	smoothSolver	1.00000000e+00	7.76704800e-02	1	1.00000000e+00	5.79073390e-02	3	false	GAMG	1.00000000e+00	9.35781440e-02	7	true
0.001           	smoothSolver	7.96939960e-01	3.18222050e-02	2	4.11830570e-01	1.33621540e-02	2	false	GAMG	1.83733470e-02	8.75097590e-04	1	true
0.0015          	smoothSolver	2.00205800e-01	1.36828630e-02	2	1.24117760e-01	1.24007530e-02	2	false	GAMG	9.36578390e-02	6.40951990e-03	5	true
0.002           	smoothSolver	5.15595720e-01	3.19126330e-02	2	4.06046200e-01	2.08504680e-02	2	false	GAMG	8.38561140e-03	4.91414690e-04	2	true
0.0025          	smoothSolver	1.32865050e-01	8.62562690e-03	2	1.42196480e-01	1.02541120e-02	2	false	GAMG	2.32379710e-02	2.25267190e-03	3	true
0.003           	smoothSolver	2.63878870e-01	1.67357060e-02	2	2.49476730e-01	1.56186580e-02	2	false	GAMG	2.02293840e-02	9.23712430e-04	1	true
0.0035          	smoothSolver	1.35648720e-01	8.48243320e-03	2	1.58558800e-01	9.75466130e-03	2	false	GAMG	3.95902690e-02	2.33828390e-03	3	true
0.004           	smoothSolver	1.46721320e-01	9.37973200e-03	2	2.33322720e-01	1.37199140e-02	2	false	GAMG	1.30879930e-01	4.28216180e-03	1	true
0.0045          	smoothSolver	1.21119260e-01	7.71150910e-03	2	1.68247770e-01	1.11037750e-02	2	false	GAMG	1.14345030e-02	9.63689300e-04	2	true
0.005           	smoothSolver	8.62512210e-02	5.66141690e-03	2	1.68288700e-01	1.15419200e-02	2	false	GAMG	1.92079210e-01	4.46771390e-03	1	true
0.0055          	smoothSolver	6.65066160e-02	4.30876670e-03	2	1.31739280e-01	8.90291070e-03	2	false	GAMG	4.33405910e-02	3.77495950e-03	2	true
0.006           	smoothSolver	7.66399830e-02	4.86104950e-03	2	1.24743500e-01	8.55249210e-03	2	false	GAMG	1.18488210e-01	3.51369910e-03	1	true
0.0065          	smoothSolver	7.15264630e-02	4.32529710e-03	2	1.07984260e-01	7.26596540e-03	2	false	GAMG	4.97587180e-02	2.87084470e-03	2	true
0.007           	smoothSolver	4.83588340e-02	3.09827040e-03	2	1.10838040e-01	6.76560750e-03	2	false	GAMG	8.10549200e-01	2.77087710e-03	1	true
0.0075          	smoothSolver	4.54133870e-02	3.34926130e-03	2	9.87362340e-02	7.05795560e-03	2	false	GAMG	1.51523620e-01	9.23199130e-03	2	true
0.008           	smoothSolver	4.53431970e-02	3.43007530e-03	2	8.58423900e-02	6.65665530e-03	2	false	GAMG	7.82949600e-01	6.58794330e-03	1	true
0.0085          	smoothSolver	3.94606470e-02	2.45753750e-03	2	7.56193380e-02	5.20420330e-03	2	false	GAMG	2.29870250e-01	1.92270340e-02	1	true
